iteration,mean_reward
0,-5.770427631578947
1,-2.166725000000002
2,2.1184199999999977
3,1.2443899999999988
4,6.029224299065418
5,7.641792372881354
6,7.364238805970148
7,9.052571969696967
8,9.243341040462425
9,9.660507389162559
10,11.9676525
11,11.61761943319838
12,13.619312992125982
13,12.535628458498023
14,12.469805732484076
15,14.26195408163265
16,13.633520467836256
17,14.442443478260866
18,15.088963172804533
19,15.466930481283422
20,14.956706106870227
21,14.75194
22,16.41531930693069
23,15.878942129629628
24,16.305627684964197
25,16.14484866828087
26,16.043643529411764
27,16.626700721153842
28,16.337762068965517
29,16.708418764302056
30,16.04037191011236
31,16.484382812499998
32,16.258664079822616
33,16.504688864628818
34,17.042582766439907
35,16.322355855855854
36,16.59802101769911
37,17.364487447698743
38,17.424765726681123
39,16.37135030549898
40,16.73598981670061
41,16.249674369747897
42,17.011929025423726
43,17.06055601659751
44,16.180708
45,16.837907838983046
46,16.95428482328482
47,16.50779684210526
48,16.174815513626832
49,16.773483624454148
50,16.70790455531453
51,16.592997772828507
52,16.63140350877193
53,16.44227484143763
54,16.386895325203252
55,16.470566593886463
56,16.233844329896908
57,17.151763598326358
58,16.470134854771782
59,16.754392783505153
60,16.64025421940928
61,15.250261133603237
62,17.00379268292683
63,17.400920258620687
64,16.337221115537847
65,17.002029347826088
66,16.87365352697095
67,17.020634736842105
68,17.337878048780485
69,17.06297965738758
70,17.427340497737553
71,16.68547986577181
72,17.730248847926266
73,16.41651403887689
74,17.473479074889866
75,16.9961724137931
76,17.379079710144925
77,17.338538135593218
78,17.281916129032254
79,17.54513595505618
80,16.70505876068376
81,17.381573951434877
82,16.935157549234134
83,17.415606741573033
84,17.509629511677282
85,17.81880495689655
86,17.302153260869563
87,17.219417695473247
88,17.56378414096916
89,17.435068337129838
90,17.563682417582413
91,16.910142126789363
92,17.029573404255316
93,17.832132567849683
94,17.005716594827586
95,17.111110864745008
96,17.66183225108225
97,17.798
98,16.773085390946502
99,16.897643153526968
100,17.174314225053077
101,16.762112499999997
102,17.38604978354978
103,17.532925162689803
104,17.41571103896104
105,17.456510845986983
106,17.739660980810232
107,17.482380549682873
108,17.68821889400921
109,16.875390167364014
110,16.512571125265392
111,17.23678681318681
112,16.831359275053302
113,16.739171578947367
114,17.059342268041235
115,16.84721946169772
116,16.655864118895966
117,17.291819565217388
118,16.98831052631579
119,16.51376114649681
120,15.981591188524588
121,16.76491214750542
122,17.11502625820569
123,17.310469017094015
124,16.397637744034707
125,18.054371331828442
126,17.137506342494714
127,16.870533333333334
128,16.905993657505284
129,17.726613924050632
130,16.969303648068667
131,17.899842047930285
132,16.537062499999998
133,17.265303757828807
134,18.13517462039045
135,17.201257142857138
136,17.735168443496796
137,17.577141774891775
138,17.300924528301884
139,16.967114190687358
140,17.433506521739126
141,17.030585774058576
142,16.911704103671703
143,16.647341286307054
144,17.30931789473684
145,16.66295322939866
146,17.43515350877193
147,17.457130208333336
148,18.205615879828326
149,16.900439784946233
150,16.98430457380457
151,17.43058222222222
152,16.635767543859643
153,16.94203642384106
154,16.992149159663864
155,17.188464044943817
156,16.968508620689654
157,17.53612262156448
158,16.68421643518518
159,18.01357675906183
160,16.81851321585903
161,16.999938413361168
162,17.60039737991266
163,17.455229423868314
164,17.042417225950782
165,17.613239957716697
166,17.068836497890292
167,16.520568376068372
168,16.56275220264317
169,16.55775690021231
170,17.641409368635436
171,17.496039748953976
172,16.479532769556023
173,16.746555304740404
174,17.700823660714285
175,16.201364893617022
176,17.113249999999997
177,17.22583443708609
178,15.89230467091295
179,16.38001623376623
180,17.067805434782606
181,16.567312896405916
182,16.470842857142856
183,16.099455555555554
184,17.46264316239316
185,17.659130784708246
186,16.85977012711864
187,17.318315450643777
188,16.90175105485232
189,16.290551578947365
190,16.931907239819004
191,16.742693684210522
192,16.897472587719296
193,17.713695259593678
194,17.206642561983468
195,16.969929025423728
196,16.954374489795914
197,17.556623376623374
198,16.49457359307359
199,16.511101910828025
