iteration,mean_reward
0,-6.3190543478260865
1,-6.715436464088398
2,-4.851149350649352
3,-4.812704081632654
4,-3.528974178403756
5,-3.7551799065420575
6,-1.5695844748858458
7,-2.7910810185185193
8,-1.0800190114068449
9,-0.23539423076923172
10,-0.8165699152542384
11,0.6595135658914721
12,0.7103924302788832
13,1.794617437722419
14,0.6558712374581934
15,0.03717953020134151
16,1.7603322475570027
17,1.1380016556291381
18,2.303486666666666
19,3.1491074766355136
0,-8.297810240963855
1,-10.550147482014388
2,-8.638203947368421
3,-6.668810975609757
4,-8.524173076923075
5,-4.944093085106383
6,-4.783990740740742
7,-4.020845000000001
8,-4.229554687500001
9,-3.334253926701571
10,-0.2327411067193686
11,-0.740873913043479
12,0.07502863436123246
13,-0.1685284552845538
14,-0.35222357723577263
15,0.5938711538461531
16,1.5487406015037588
17,2.0503192982456127
18,3.9101534482758615
19,2.7112401960784305
0,-8.358312883435582
1,-8.333214285714286
2,-8.861079754601228
3,-5.934204918032788
4,-6.024735465116279
5,-4.936837696335079
6,-4.738662983425415
7,-5.29089779005525
8,-5.2236052631578955
9,-3.815303921568628
10,-2.867819819819821
11,-0.8021904761904771
12,-1.8853000000000004
13,-2.0363419913419922
14,-0.633219367588933
15,-1.2951250000000005
16,0.6097527075812265
17,0.5768352272727263
18,1.1517315789473677
19,1.7210160771704168
20,1.7464708904109583
21,2.9141781045751625
22,1.3651671924290214
23,2.4764514563106785
24,2.327595522388059
25,2.9633927444794943
26,2.9387521008403357
27,4.195129032258063
28,3.7810677506775052
29,3.875088709677419
30,3.3428247978436647
31,5.129920485175202
32,4.121022849462365
33,4.211509383378016
34,4.110746770025839
35,4.23468359375
36,4.973931818181818
37,4.494087499999999
38,5.539101694915253
39,5.567556338028168
40,5.837762886597937
41,4.837902097902098
42,5.733061298076922
43,6.27547281323877
44,5.48394417475728
45,5.589390022675737
46,6.095799539170505
47,6.354744588744588
48,7.111115973741794
49,6.7322639198218255
50,6.9495512249443205
51,7.026692052980131
52,6.676212389380529
53,7.142304852320675
54,7.243980810234541
55,7.727742857142856
56,6.734841889117042
57,6.956907999999999
58,7.710909465020575
59,7.666497903563941
60,7.168497816593885
61,7.579537037037037
62,8.23660119047619
63,8.843516032064128
64,9.02892485549133
65,8.623473684210525
66,9.142459183673468
67,8.167089494163424
68,8.359642716535433
69,8.84573622047244
70,8.35836254612546
71,8.259352112676057
72,8.393554128440366
73,9.206581983805668
74,9.76689944134078
75,8.969798342541436
76,8.450785436893204
77,8.430205653021442
78,9.85295900178253
79,8.800377306273063
80,9.576531934306571
81,10.248267857142856
82,9.800999999999998
83,9.64314572425829
84,9.130677619893428
85,8.877223104056437
86,9.76019557823129
87,9.553126102292769
88,9.85250357142857
89,9.49953558718861
90,9.913303754266211
91,10.189767543859649
92,10.695258377425043
93,10.222808664259926
94,10.315662326388887
95,9.500013769363166
96,9.473409013605442
97,10.707828473413377
98,9.798383478260869
99,10.410737068965515
100,9.873714890016918
101,10.356754621848738
102,11.093487745098038
103,10.016050986842103
104,10.147277591973243
105,10.541835034013603
106,10.700515548281505
107,10.620620888157893
108,11.328566608996537
109,11.405212146422627
110,11.129372742200326
111,11.904163837011883
112,11.120046280991733
113,11.462863414634144
114,10.268149834437086
115,11.373329661016948
116,10.640033011272141
117,11.56671111111111
118,11.152287096774193
119,12.301547775947279
120,12.160028205128203
121,11.22681762917933
122,11.715619774919613
123,11.900054226475277
124,11.829455118110236
125,11.111158576051778
126,12.618678571428571
127,11.431538765822783
128,12.193443615257047
129,10.385599358974359
130,11.428201112877582
131,11.121111464968152
132,11.694193053311793
133,11.972149068322981
134,12.146083993660854
135,12.207252773375593
136,11.799085626911314
137,12.661184952978056
138,12.515107765451662
139,12.27210096153846
140,11.239561051004635
141,11.018674922600617
142,11.700525931928686
143,11.717456989247312
144,11.915839421613395
145,13.410614006514656
146,11.861409161490682
147,12.17852160493827
148,11.926949921752737
149,12.546915064102564
150,12.514232928679817
151,12.422737654320985
152,12.569854714064915
153,12.570545385779122
154,12.66948162939297
155,12.656123466257668
156,11.641349999999997
157,12.143548632218845
158,12.258106750392464
159,12.314968217054261
160,11.895046082949307
161,12.286822700296732
162,11.741606240713224
163,13.342362637362635
164,12.003166409861322
165,12.630265210608423
166,12.133824113475177
167,12.119394894894894
168,12.263481671554251
169,12.165055635838149
170,11.519394376899694
171,12.31648240469208
172,11.866578625954197
173,12.316037925696595
174,12.216699999999998
175,12.852166927899685
176,12.506177177177177
177,11.981895927601808
178,12.977523988005997
179,12.302234303215922
180,13.113202160493827
181,13.328092307692309
182,12.561432452276064
183,12.761055720653788
184,11.696574100719422
185,12.263222993827158
186,12.839713960546284
187,12.986614644970413
188,12.84520174165457
189,12.56285768072289
190,12.45914862804878
191,12.487360339506171
192,13.006009404388713
193,12.253679049034174
194,12.330406342182888
195,13.692654422788603
196,12.681779017857144
197,13.205578220858897
198,13.418378419452884
199,13.13052803030303
