iteration,mean_reward
0,3.625
1,4.05
2,8.0
3,9.0
4,9.45
5,13.6
6,16.85
7,21.5
8,24.4
9,24.15
10,26.35
11,28.45
12,27.25
13,28.7
14,27.7
15,28.45
16,28.85
17,28.7
18,29.05
19,30.2
20,28.6
21,30.5
22,29.9
23,29.8
24,29.5
25,29.3
26,29.8
27,29.85
28,30.3
29,30.55
30,28.9
31,29.7
32,29.15
33,29.6
34,29.5
35,28.6
36,28.7
37,28.65
38,30.4
39,30.0
40,30.25
41,29.3
42,28.8
43,29.6
44,30.9
45,29.4
46,28.95
47,28.15
48,28.15
49,30.6
